web_id	분류	제품명(중문)	제품명(한글)	SQL 제품군	SQL행	가격대	판정
490698	전극클램프	铂电극夹-PEEK	백금 전극 클램프 PEEK (PT-1·PT-3)	백금시트 전극 클램프	3	315,000	확정 — 위와 SQL행 겹침
490889	전극클램프	玻碳电极夹	유리탄소 전극 클램프	카본코팅판 전용 클램프 (PEEK) GC 전용	1	403,000	확정
490867	전극클램프	不锈钢电极夹（四氟外壳）	스테인리스 클램프 (PTFE 외피) SUS-2	스테인리스 전극 클램프 SUS-2	1	140,000	확정
490792	전극클램프	不锈钢电极夹	스테인리스 클램프 SUS-1	스테인리스 전극 클램프 SUS-1 (316F)	1	88,000	확정
490850	전극클램프	钛电极夹	티타늄 전극 클램프	티타늄 전극 클램프	2	140,000~245,000	확정
941476	전극클램프	黄金电极夹，盘状金丝电极夹	금 전극 클램프	금박 전극 클램프	1	753,000	확정
490746	전극클램프	玻碳片（石墨片）电极夹	유리탄소판/흑연판 클램프	카본코팅 카본전극 클램프	1	333,000	검토
490708	전극클램프	加厚样片电极夹	후판 시편 클램프	이중버튼 백금판 전극 클램프	1	455,000	검토
490671	전극클램프	样片支持体	시편 지지체 (정면적 1cm²)	(없음)	0	—	★신규
498768	전극클램프	定制样片夹	맞춤 시편 클램프	(없음)	0	—	★신규
