sku	소분	모델	옵션	정가
GU-WORKIN-2mm-6	작업전극	Φ2mm	Φ2mm	175000
GU-WORKIN-2-4mm	작업전극	Φ2~4mm	Φ2~4mm	140000
GU-WORKIN-3mm-6	작업전극	Φ3mm	Φ3mm	245000
GU-WORKIN-2-4mm-2	작업전극	Φ2~4mm	Φ2~4mm	140000
GU-WORKIN-2-4mm-3	작업전극	Φ2~4mm	Φ2~4mm	140000
GU-WORKIN-2-4mm-4	작업전극	Φ2~4mm	Φ2~4mm	140000
GU-WORKIN-2-4mm-5	작업전극	Φ2~4mm	Φ2~4mm	140000
GU-WORKIN-2-4mm-6	작업전극	Φ2~4mm	Φ2~4mm	140000
GU-WORKIN-2-5mm	작업전극	Φ2~5mm	Φ2~5mm	122000
GU-WORKIN-2-5mm-2	작업전극	Φ2~5mm	Φ2~5mm	122000
GU-WORKIN-2-6mm	작업전극	Φ2~6mm	Φ2~6mm	245000
GU-WORKIN-2-6mm-2	작업전극	Φ2~6mm	Φ2~6mm	140000
GU-WORKIN-2-4mm-7	작업전극	Φ2~4mm	Φ2~4mm	175000
GU-WORKIN-2-4mm-8	작업전극	Φ2~4mm	Φ2~4mm	70000
GU-WORKIN-2-4mm-9	작업전극	Φ2~4mm	Φ2~4mm	70000
GU-RDE-RR-GC-5mm	회전전극	GC 유리탄소 Φ5mm	GC 유리탄소 Φ5mm	1050000
GU-RDE-RR-PT-5mm	회전전극	PT 백금 Φ5mm	PT 백금 Φ5mm	1645000
GU-RDE-RR-AU-5mm	회전전극	AU 금 Φ5mm	AU 금 Φ5mm	2800000
GU-RDE-RR-GC-3-4-5mm	회전전극	GC 유리탄소 Φ3·4·5mm	GC 유리탄소 Φ3·4·5mm	1050000
GU-RDE-RR-PT-3-4-5mm	회전전극	PT 백금 Φ3·4·5mm	PT 백금 Φ3·4·5mm	1645000
GU-RDE-RR-AU-3mm	회전전극	AU 금 Φ3mm	AU 금 Φ3mm	1522000
GU-RDE-RR-AU-4mm	회전전극	AU 금 Φ4mm	AU 금 Φ4mm	2100000
GU-RDE-RR-AU-5mm-2	회전전극	AU 금 Φ5mm	AU 금 Φ5mm	2800000
GU-RDE-RR-GC-5-6mm	회전전극	GC 유리탄소 Φ5.6mm	GC 유리탄소 Φ5.6mm	3150000
GU-RDE-RR-PT-5-6mm	회전전극	PT 백금 Φ5.6mm	PT 백금 Φ5.6mm	3675000
GU-RDE-RR-AU-5-6mm	회전전극	AU 금 Φ5.6mm	AU 금 Φ5.6mm	4550000
GU-RDE-RR-GC-4mm	회전전극	GC 유리탄소 Φ4mm	GC 유리탄소 Φ4mm	2800000
GU-RDE-RR-PT-4mm	회전전극	PT 백금 Φ4mm	PT 백금 Φ4mm	10150000
GU-RDE-RR-AU-4mm-2	회전전극	AU 금 Φ4mm	AU 금 Φ4mm	3500000
GU-RDE-RR	회전전극	표준	회전 전극용 홀더	210000
GU-ELECTR-PT-X	전극 클램프·홀더	PT-X	PT-X	315000
GU-ELECTR-PT-1	전극 클램프·홀더	PT-1	PT-1	315000
GU-ELECTR-PT-3	전극 클램프·홀더	PT-3	PT-3	315000
GU-ELECTR-GC-2	전극 클램프·홀더	GC-2	GC-2	333000
GU-ELECTR-GC	전극 클램프·홀더	GC 전용	GC 전용	403000
GU-ELECTR-PT-XS	전극 클램프·홀더	PT-XS	PT-XS	455000
GU-ELECTR-AU-X	전극 클램프·홀더	AU-X	AU-X	753000
GU-ELECTR-SUS-1-316F	전극 클램프·홀더	SUS-1 (316F)	SUS-1 (316F)	88000
GU-ELECTR-SUS-2-PTFE	전극 클램프·홀더	SUS-2 (PTFE 하우징)	SUS-2 (PTFE 하우징)	140000
GU-ELECTR-SUS-X	전극 클램프·홀더	SUS-X	SUS-X	210000
GU-ELECTR-TI-3	전극 클램프·홀더	TI-3	TI-3	140000
GU-ELECTR-TI-X	전극 클램프·홀더	TI-X	TI-X	245000
GU-ELECTR-E1006	전극 클램프·홀더	E1006	Φ6.5 구멍 3개 + Φ2 구멍 2개	175000
GU-ELECTR-E1008	전극 클램프·홀더	E1008	Φ8.5 1개 + Φ6.5 2개 + Φ2 2개	175000
GU-ELECTR-E1010	전극 클램프·홀더	E1010	Φ10.5 1개 + Φ6.5 2개 + Φ2 2개	175000
GU-ELECTR-E1012	전극 클램프·홀더	E1012	Φ12.5 1개 + Φ6.5 2개 + Φ2 2개	175000
GU-ELECTR-E1016	전극 클램프·홀더	E1016	Φ16.5 1개 + Φ6.5 2개 + Φ2 2개	175000
GU-ELECTR	전극 클램프·홀더	표준	전극 9개 거치 · Φ2mm 소켓	88000
GU-ELECTR-P400	전극 연마용품	P400 시리즈	연마포·연마분(0.05μm 등)	245000
GU-ELECTR-P800	전극 연마용품	P800 시리즈	연마포·연마분 확장 세트	508000
GU-ELECTR-GU100	전극 연마용품	GU100	전동 전극 연마기	2275000
GU-ECHEM-GC1010-1	전기화학 재료	GC1010-1	10×10×1mm	105000
GU-ECHEM-GC1010-2	전기화학 재료	GC1010-2	10×10×2mm	122000
GU-ECHEM-GC1010-3	전기화학 재료	GC1010-3	10×10×3mm	140000
GU-ECHEM-GC1015-1	전기화학 재료	GC1015-1	10×15×1mm	158000
GU-ECHEM-GC1015-2	전기화학 재료	GC1015-2	10×15×2mm	175000
GU-ECHEM-GC1015-3	전기화학 재료	GC1015-3	10×15×3mm	192000
GU-ECHEM-GC1020-1	전기화학 재료	GC1020-1	10×20×1mm	210000
GU-ECHEM-GC1020-2	전기화학 재료	GC1020-2	10×20×2mm	245000
GU-ECHEM-GC1020-3	전기화학 재료	GC1020-3	10×20×3mm	262000
GU-ECHEM-GC1025-1	전기화학 재료	GC1025-1	10×25×1mm	262000
GU-ECHEM-GC1025-2	전기화학 재료	GC1025-2	10×25×2mm	297000
GU-ECHEM-GC1025-3	전기화학 재료	GC1025-3	10×25×3mm	333000
GU-ECHEM-GC1515-1	전기화학 재료	GC1515-1	15×15×1mm	245000
GU-ECHEM-GC1515-2	전기화학 재료	GC1515-2	15×15×2mm	262000
GU-ECHEM-GC1515-3	전기화학 재료	GC1515-3	15×15×3mm	297000
GU-ECHEM-GC1520-1	전기화학 재료	GC1520-1	15×20×1mm	315000
GU-ECHEM-GC1520-2	전기화학 재료	GC1520-2	15×20×2mm	350000
GU-ECHEM-GC1520-3	전기화학 재료	GC1520-3	15×20×3mm	385000
GU-ECHEM-GC2020-1	전기화학 재료	GC2020-1	20×20×1mm	420000
GU-ECHEM-GC2020-2	전기화학 재료	GC2020-2	20×20×2mm	472000
GU-ECHEM-GC2020-3	전기화학 재료	GC2020-3	20×20×3mm	525000
GU-ECHEM-GC2525-1	전기화학 재료	GC2525-1	25×25×1mm	665000
GU-ECHEM-GC2525-2	전기화학 재료	GC2525-2	25×25×2mm	735000
GU-ECHEM-GC2525-3	전기화학 재료	GC2525-3	25×25×3mm	805000
GU-ECHEM-1010-1	전기화학 재료	1010-1	10×10×1mm	9000
GU-ECHEM-1010-2	전기화학 재료	1010-2	10×10×2mm	17000
GU-ECHEM-1010-3	전기화학 재료	1010-3	10×10×3mm	26000
GU-ECHEM-1015-1	전기화학 재료	1015-1	10×15×1mm	9000
GU-ECHEM-1015-2	전기화학 재료	1015-2	10×15×2mm	17000
GU-ECHEM-1015-3	전기화학 재료	1015-3	10×15×3mm	26000
GU-ECHEM-1020-1	전기화학 재료	1020-1	10×20×1mm	12000
GU-ECHEM-1020-2	전기화학 재료	1020-2	10×20×2mm	17000
GU-ECHEM-1020-3	전기화학 재료	1020-3	10×20×3mm	24000
GU-ECHEM-1025-1	전기화학 재료	1025-1	10×25×1mm	15000
GU-ECHEM-1025-2	전기화학 재료	1025-2	10×25×2mm	23000
GU-ECHEM-1025-3	전기화학 재료	1025-3	10×25×3mm	30000
GU-ECHEM-1515-1	전기화학 재료	1515-1	15×15×1mm	17000
GU-ECHEM-1515-2	전기화학 재료	1515-2	15×15×2mm	26000
GU-ECHEM-1515-3	전기화학 재료	1515-3	15×15×3mm	35000
GU-ECHEM-1520-1	전기화학 재료	1520-1	15×20×1mm	17000
GU-ECHEM-1520-2	전기화학 재료	1520-2	15×20×2mm	26000
GU-ECHEM-1520-3	전기화학 재료	1520-3	15×20×3mm	35000
GU-ECHEM-2020-1	전기화학 재료	2020-1	20×20×1mm	25000
GU-ECHEM-2020-2	전기화학 재료	2020-2	20×20×2mm	35000
GU-ECHEM-2020-3	전기화학 재료	2020-3	20×20×3mm	48000
GU-ECHEM-2525-1	전기화학 재료	2525-1	25×25×1mm	37000
GU-ECHEM-2525-2	전기화학 재료	2525-2	25×25×2mm	54000
GU-ECHEM-2525-3	전기화학 재료	2525-3	25×25×3mm	54000
GU-ECHEM-Nafion-115	전기화학 재료	Nafion 115	100×100mm	350000
GU-ECHEM-Nafion-117	전기화학 재료	Nafion 117	100×100mm	350000
GU-ECHEM-Nafion-212	전기화학 재료	Nafion 212	100×100mm	350000
GU-ECHEM-Nafion-211	전기화학 재료	Nafion 211	100×100mm	245000
GU-ECHEM-Fuma-FAA-3-50	전기화학 재료	Fuma-FAA-3-50	100×100mm	472000
GU-ECHEM-FAA-3-pk-130	전기화학 재료	FAA-3-pk-130	100×100mm	472000
GU-ECHEM-FBM	전기화학 재료	FBM	100×100mm	647000
GU-ECHEM-SGL22BB	전기화학 재료	SGL22BB	100×100mm	70000
GU-ECHEM-SGL38BC	전기화학 재료	SGL38BC	100×100mm	70000
GU-ECHEM-SGL39BB	전기화학 재료	SGL39BB	100×100mm	79000
GU-ECHEM-CDS180S	전기화학 재료	CDS180S	100×100mm	70000
GU-ECHEM-W1S1011	전기화학 재료	W1S1011	400×400mm	875000
GU-ECHEM-W0S1011	전기화학 재료	W0S1011	400×400mm	875000
GU-ECHEM	전기화학 재료	표준	100×100mm	70000
GU-ECHEM-100-50-10mm	전기화학 재료	100×50×10mm	100 PPI	1750000
GU-ECHEM-100-100-10mm	전기화학 재료	100×100×10mm	100 PPI	3500000
GU-ECHEM-100-100mm	전기화학 재료	100×100mm	두께 0.16mm	700000
GU-ECHEM-210-295mm	전기화학 재료	210×295mm	두께 0.5mm	140000
GU-ECHEM-210-295mm-2	전기화학 재료	210×295mm	두께 0.5mm	140000
GU-CO2RR-Ag-NPs	CO2RR 촉매	Ag NPs	~50-80nm · 목표물 CO · 선택도 ≥95% · 2g/병	350000
GU-CO2RR-Sn-NPs-H	CO2RR 촉매	Sn NPs-H	~50-80nm · 목표물 포름산(염) · 선택도 ≥90% · 2g/병	525000
GU-CO2RR-Sn-NPs-M	CO2RR 촉매	Sn NPs-M	~50-80nm · 목표물 포름산(염) · 선택도 ≥80% · 2g/병	350000
GU-CO2RR-Bi2O3-H	CO2RR 촉매	Bi2O3-H	~50-80nm · 목표물 포름산(염) · 선택도 ≥90% · 2g/병	962000
GU-CO2RR-Bi2O3-M	CO2RR 촉매	Bi2O3-M	~50-80nm · 목표물 포름산(염) · 선택도 ≥80% · 2g/병	788000
GU-CO2RR-Cu-NPs-H	CO2RR 촉매	Cu NPs-H	~30-50nm · 목표물 C2+ 생성물 · 선택도 ≥70% · 2g/병	962000
GU-CO2RR-Cu-NPs-M	CO2RR 촉매	Cu NPs-M	~30-50nm · 목표물 C2+ 생성물 · 선택도 ≥60% · 2g/병	788000
GU-CO2RR-CuO-NPs-S	CO2RR 촉매	CuO NPs-S	~50-80nm · 목표물 C2+ 생성물 · 선택도 ≥65% · 2g/병	875000
GU-CO2RR-Ag-CB	CO2RR 촉매	Ag-CB	10×10cm² · 목표물 CO · 선택도 ≥95% · 담지량 ~1 mg	858000
GU-CO2RR-Ag-CT	CO2RR 촉매	Ag-CT	10×10cm² · 목표물 CO · 선택도 ≥95% · 담지량 ~1 mg	1033000
GU-CO2RR-Ag-CBU	CO2RR 촉매	Ag-CBU	10×10cm² · 목표물 CO · 선택도 ≥95% · 담지량 ~1 mg	1208000
GU-CO2RR-Ag-CTU	CO2RR 촉매	Ag-CTU	10×10cm² · 목표물 CO · 선택도 ≥95% · 담지량 ~1 mg	1383000
GU-CO2RR-Ag-CBH	CO2RR 촉매	Ag-CBH	10×10cm² · 목표물 CO · 선택도 ≥95% · 담지량 ~1 mg	1208000
GU-CO2RR-Ag-CTH	CO2RR 촉매	Ag-CTH	10×10cm² · 목표물 CO · 선택도 ≥95% · 담지량 ~1 mg	1383000
GU-CO2RR-Ag-CBUH	CO2RR 촉매	Ag-CBUH	10×10cm² · 목표물 CO · 선택도 ≥95% · 담지량 ~1 mg	1558000
GU-CO2RR-Ag-CTUH	CO2RR 촉매	Ag-CTUH	10×10cm² · 목표물 CO · 선택도 ≥95% · 담지량 ~1 mg	1750000
GU-CO2RR-Sn-CB	CO2RR 촉매	Sn-CB	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% (X계열 ≥7	1033000
GU-CO2RR-Sn-CT	CO2RR 촉매	Sn-CT	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% (X계열 ≥7	1208000
GU-CO2RR-Sn-CBU	CO2RR 촉매	Sn-CBU	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% (X계열 ≥7	1208000
GU-CO2RR-Sn-CTU	CO2RR 촉매	Sn-CTU	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% (X계열 ≥7	1470000
GU-CO2RR-Sn-CBH	CO2RR 촉매	Sn-CBH	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% (X계열 ≥7	1383000
GU-CO2RR-Sn-CTH	CO2RR 촉매	Sn-CTH	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% (X계열 ≥7	1558000
GU-CO2RR-Sn-CBUH	CO2RR 촉매	Sn-CBUH	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% (X계열 ≥7	1715000
GU-CO2RR-Sn-CTUH	CO2RR 촉매	Sn-CTUH	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% (X계열 ≥7	1925000
GU-CO2RR-Sn-CBX	CO2RR 촉매	Sn-CBX	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% (X계열 ≥7	1925000
GU-CO2RR-Sn-CTX	CO2RR 촉매	Sn-CTX	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% (X계열 ≥7	2100000
GU-CO2RR-Sn-CBUX	CO2RR 촉매	Sn-CBUX	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% (X계열 ≥7	2275000
GU-CO2RR-Sn-CTUX	CO2RR 촉매	Sn-CTUX	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% (X계열 ≥7	2450000
GU-CO2RR-Bi2O3-CB	CO2RR 촉매	Bi2O3-CB	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% · 담지량 ~	1208000
GU-CO2RR-Bi2O3-CT	CO2RR 촉매	Bi2O3-CT	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% · 담지량 ~	1383000
GU-CO2RR-Bi2O3-CBU	CO2RR 촉매	Bi2O3-CBU	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% · 담지량 ~	1558000
GU-CO2RR-Bi2O3-CTU	CO2RR 촉매	Bi2O3-CTU	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% · 담지량 ~	1750000
GU-CO2RR-Bi2O3-CBH	CO2RR 촉매	Bi2O3-CBH	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% · 담지량 ~	1558000
GU-CO2RR-Bi2O3-CTH	CO2RR 촉매	Bi2O3-CTH	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% · 담지량 ~	1715000
GU-CO2RR-Bi2O3-CBUH	CO2RR 촉매	Bi2O3-CBUH	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% · 담지량 ~	1925000
GU-CO2RR-Bi2O3-CTUH	CO2RR 촉매	Bi2O3-CTUH	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% · 담지량 ~	2100000
GU-CO2RR-Bi2O3-CBX	CO2RR 촉매	Bi2O3-CBX	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% · 담지량 ~	2100000
GU-CO2RR-Bi2O3-CTX	CO2RR 촉매	Bi2O3-CTX	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% · 담지량 ~	2275000
GU-CO2RR-Bi2O3-CBUX	CO2RR 촉매	Bi2O3-CBUX	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% · 담지량 ~	2450000
GU-CO2RR-Bi2O3-CTUX	CO2RR 촉매	Bi2O3-CTUX	10×10cm² · 목표물 포름산(염) · 선택도 ≥90% · 담지량 ~	2800000
GU-CO2RR-Cu-CB	CO2RR 촉매	Cu-CB	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥70% · 담지량 	1558000
GU-CO2RR-Cu-CT	CO2RR 촉매	Cu-CT	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥70% · 담지량 	1715000
GU-CO2RR-Cu-CBU	CO2RR 촉매	Cu-CBU	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥70% · 담지량 	1925000
GU-CO2RR-Cu-CTU	CO2RR 촉매	Cu-CTU	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥70% · 담지량 	2100000
GU-CO2RR-Cu-CBH	CO2RR 촉매	Cu-CBH	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥70% · 담지량 	1715000
GU-CO2RR-Cu-CTH	CO2RR 촉매	Cu-CTH	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥70% · 담지량 	1925000
GU-CO2RR-Cu-CBUH	CO2RR 촉매	Cu-CBUH	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥70% · 담지량 	2100000
GU-CO2RR-Cu-CTUH	CO2RR 촉매	Cu-CTUH	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥70% · 담지량 	0
GU-CO2RR-Cu-CBX	CO2RR 촉매	Cu-CBX	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥70% · 담지량 	2275000
GU-CO2RR-Cu-CTX	CO2RR 촉매	Cu-CTX	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥70% · 담지량 	2450000
GU-CO2RR-Cu-CBUX	CO2RR 촉매	Cu-CBUX	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥70% · 담지량 	2625000
GU-CO2RR-Cu-CTUX	CO2RR 촉매	Cu-CTUX	10×10cm² · 목표물 C2+ 생성물 · 선택도 ≥70% · 담지량 	2800000
