id	cat	name_zh	name_ko
3193099	CO2RR음극촉매	CO₂RR 催化剂（Cu基粉末）	CO2RR 촉매 (Cu계 분말)
3191960	CO2RR음극촉매	CO₂RR 催化剂（Sn基粉末）	CO2RR 촉매 (Sn계 분말)
3192338	CO2RR음극촉매	CO₂RR 催化剂（Bi₂O₃ GDE阴极）	CO2RR 촉매 (Bi2O3 GDE 캐소드)
3192300	CO2RR음극촉매	CO₂RR 催化剂（Cu GDE阴极）	CO2RR 촉매 (Cu GDE 캐소드)
3192267	CO2RR음극촉매	CO₂RR 催化剂（Ag GDE阴极）	CO2RR 촉매 (Ag GDE 캐소드)
3192205	CO2RR음극촉매	CO₂RR 催化剂（Sn GDE阴极）	CO2RR 촉매 (Sn GDE 캐소드)
3193715	CO2RR양극촉매	CO₂RR 阳极催化剂（钛毡氧化铱）	CO2RR 양극촉매 (티타늄 펠트 IrO2)
3193703	CO2RR양극촉매	CO₂RR 阳极催化剂（碳纸氧化铱）	CO2RR 양극촉매 (카본페이퍼 IrO2)
3192221	CO2RR양극촉매	CO₂RR 阳极催化剂（钛毡氧化铱）	CO2RR 양극촉매 (티타늄 펠트 IrO2) 2
3193731	CO2RR고체전해질	固态电解质	고체 전해질
49164	MEA막전극	膜电极电解池(阴极非金属材质）	막전극 전해셀 (캐소드 비금속 재질)
754365	MEA막전극	双极板膜电极反应池	바이폴라 플레이트 막전극 반응셀
5917650	MEA막전극	水冷控温型膜电极电解池	수냉 온도제어형 막전극 전해셀
2330864	MEA막전극	电堆	스택(전해조)
1198658	MEA막전극	可换通道MEA膜电极电解池	유로 교체형 MEA 막전극 전해셀
1172288	MEA막전극	膜电极电解池大电流解决方案	막전극 전해셀 고전류 솔루션
1100994	MEA막전극	可视化膜电极反应池	가시화 막전극 반응셀
499523	MEA막전극	石墨板膜电极反应池	흑연판 막전극 반응셀
1791535	MEA막전극	膜电极加热控温仪	막전극 가열·온도 컨트롤러
2282049	Flowcell	膜电极-气体扩散多功能电解池	막전극-가스확산 다기능 전해셀
499601	Flowcell	气体扩散电极电解池	가스확산 전극 전해셀
1022820	Flowcell	气体扩散电极电解池-CP系列	가스확산 전극 전해셀 CP 시리즈
2473567	Flowcell	可视化气固电化学池	가시화 기고체 전기화학셀
2473552	Flowcell	膜电极式气体扩散电解池	막전극식 가스확산 전해셀
1198596	Flowcell	气体扩散光电化学池	가스확산 광전기화학셀
499348	Flowcell	电容去离子装置	축전식 탈이온(CDI) 장치
499035	Flowcell	光催化气体扩散电解池	광촉매 가스확산 전해셀
498995	Flowcell	蛇形-腔室流动池	사행-챔버 플로우셀
495509	PressureCell	P001耐高压电解池	P001 내고압 전해셀
495500	PressureCell	P002耐高压H型可换膜电解池	P002 내고압 H형 막교체 전해셀
495495	PressureCell	P003耐高压H型可换膜电解池	P003 내고압 H형 막교체 전해셀
492241	PressureCell	定制高压光催化池	맞춤 고압 광촉매셀
495795	PressureCell	压力电池评价测试池（两电극）	가압 전지 평가 테스트 셀 (2전극)
495608	PressureCell	拉曼压力电池测试池（两电极）	라만 가압 전지 테스트 셀 (2전극)
495590	PressureCell	拉曼压力电池测试池（三电极）	라만 가압 전지 테스트 셀 (3전극)
491613	전극연마	电极抛光机	전극 연마기
491610	전극연마	抛光材料套装-P400型	연마재 세트 P400형
491606	전극연마	抛光材料套装-P800型	연마재 세트 P800형
491605	전극연마	抛光粉	연마분
491600	전극연마	抛光布	연마포
491581	전극연마	电极抛光盒	전극 연마함
195051	계측장비	旋转圆盘/圆环电极装置	회전원판/링원판 전극 장치
195052	계측장비	电化学工作站	전기화학 워크스테이션
195053	계측장비	工作站电流放大器	워크스테이션 전류 증폭기
3356265	계측장비	纳米粒度电位分析仪	나노 입도·제타전위 분석기
3356242	계측장비	激光粒度分析仪	레이저 입도 분석기
917127	계측장비	便携式辣椒度分析仪	휴대형 분석기 (사이트 표기 오기 추정)
