id	cat	name_zh	spec_zh	img
489401	작업전극	简单电极架	简单电极架 | 材质：聚四氟乙烯+聚三氟 | 三电极孔+二进出气针孔 | 电极架头可任意方向旋转，可根据要求进行打孔	20127630.jpg
479899	작업전극	电极烘干支架	电极烘干支架、电极固定支架 | 材质：聚四氟乙烯 | 位置：7孔设计 | 用途：盘状电极静态滴涂使用	20637942.jpg
489727	기준전극	氯化银电极-单盐桥	氯化银电极-单盐桥 | 用于中性溶液的电化学测试 | 1038型 玻璃管直径3.8mm | 1060型 玻璃管直径6.0mm | 2060型 聚三氟管，直径6.0mm | 1020型 聚醚醚酮管，直径2.0mm	20130502.png
489739	기준전극	氯化银电极-双盐桥	双盐桥氯化银电极，适用于对氯离子有规避以及测试电解液对电极有强烈损害的测试体系，外盐桥可以有效保障电化学测试的稳定性 | 8060型氯化银电极 内盐桥玻璃，直径3.8mm；外盐桥聚四氟乙烯，直径6mm | 8060型氯化银电极 内盐桥玻璃，直径3.8mm；外盐桥聚三氟乙烯，直径6mm	20130505.png
489683	기준전극	银-银离子电极	银-银离子电极 | 应用于有机相溶液测试 | 4038型 玻璃管直径3.8mm | 4060型 玻璃管直径6.0mm	20129978.png
489826	기준전극	饱和甘汞电极（SCE）	饱和甘汞电极（SCE） | 主要应用于中性电解液的测试	20131113.png
489907	기준전극	氧化汞电极	氧化汞电极 | 主要应用于碱性溶液的电化学测试	20132206.png
489876	기준전극	硫酸亚汞电极	硫酸亚汞电极 | 主要应用于酸性电解液测试	20131113.png
489942	기준전극	标准氢参比电极	标准氢参比电极 | 易于更换。为电极提供氢气 | 没有内电解质，因此没有离子出口且没有扩散电位 | 无需电解液补充 | 该电极不含有毒重金属，可用于含氟浓缩介质	20132676.png
489935	기준전극	砂芯盐桥	砂芯盐桥 | 主管材质：高硼硅玻璃、聚醚醚酮 | 弯型盐桥：主管直径10mm，长度可定制；弯头长度10mm | 直型盐桥：总长140、170mm，上半部直径10mm，下半部直径6mm | 聚醚醚酮盐桥：上半部直径8mm，长43mm；下半部直径3.8mm，长50mm	20132394.png
489918	기준전극	鲁金毛细管-盐桥	鲁金毛细管-盐桥 | 弯型鲁金毛细管 | 材质：高硼硅玻璃 | 主管直径：10mm，长度可以定制 | 弯头毛细管长度可定制	20132393.png
490054	상대전극	铂片电极	铂片电极，对比电极 | 英文名称: Platinum electrodes | 厚度：0.1mm、0.2mm、0.3mm | 铂片规格：5*5, 5*10, 10*10, 10*15, 15*15, 15*20, 20*20, 30*30mm等，可订制 | 纯度99.99%。 | 铂片电极外套：PTFE	20134837.png
490061	상대전극	铂网电极	铂网电极 | 英文名称: Platinum nets electrode | 型号规格:10*10、10*15、15*15、20*20等等，可以定制 | 纯度99.99%。 | 电极外套：聚四氟（PTFE）	20135054.png
490078	상대전극	铂丝电极	铂丝电极，对电极 | 英文名称: Platinum Wire Electrode | 型号规格: Pt:φ0.5mm×37mm；1mm*37mm | 纯度99.99%。 | 铂丝电极外套：PTFE	20135210.png
490093	상대전극	铂柱电极	铂柱电极 | 英文名称: Platinum Pole Electrode | 型号规格: Pt:φ1mm×10mm（外露5mm）；φ1mm×15mm（外露10mm） | 纯度99.99%。 | 铂柱电极外套：PTFE	20135503.png
490120	상대전극	螺旋金丝对电极	金丝对比电极 | 杆子材质：PEEK 尺寸：6mm*20mm | 导电介质：镀金铜棒 尺寸：1.5mm*15mm | 金丝尺寸：0.5*230mm | 金丝纯度：99.999% | 常与旋转圆盘仪配套使用，高纯进口金丝，比表面积大，相比铂丝惰性更强。有效减小析氢	20136034.png
490114	상대전극	螺旋铂丝电极	铂丝对比电极 | 杆子材质：PEEK 尺寸：6mm*20mm | 导电介质：镀金铜棒 尺寸：1.5mm*15mm | 铂丝尺寸：0.5*230mm | 铂丝纯度：99.99% | 常与旋转圆盘仪配套使用，高纯进口铂丝，比表面积大	20136035.png
490128	상대전극	黄金片对电极	黄金片电极 | 黄金片厚度：0.1mm ~ 1mm，长宽可选。 | 黄金片纯度：99.999% | 黄金片产地：美国、日本 | 外套材质：PTFE | 外套直径：6mm | 外套长度：60mm、80mm、100mm、120mm | 黄金片为圆形或方形 | 黄金片的一端焊接铂丝使其镶嵌在PTFE杆内 | 电极尾部为镀金导线柱防止氧化。	20136033.png
490140	상대전극	带盐桥铂丝电极	带盐桥铂丝对比电极 | 杆子材质：PEEK 尺寸：6mm*20mm | 导电介质：镀金铜棒 尺寸：1.5mm*15mm | 铂丝尺寸：0.5*230mm | 铂丝纯度：99.99% | 带盐桥可有效防止对电极析出物影响工作电极实验。推荐与本公司C004款五口电解池使用。	20136473.png
490147	상대전극	石墨棒电极	石墨棒电极 | 英文名称: Graphite rod electrode | 型号规格: φ6mm×65mm（外露60mm） | 石墨产地：中国、日本 | 电极外套：聚四氟（PTFE）	20136477.png
491384	회전전극	旋转圆盘电极-RDE外螺纹	旋转圆盘电极-RDE外螺纹 | 材质：GC，AU，PT等 | 杆材质：PTFE、PEEK等 | 工作温度：10-25℃ | 盘电极直径：5.0mm | 电极外径：15mm | 聚四氟乙烯封装，耐化学腐蚀，能在浓酸体系中工作。外螺纹设计，接触更好，信号传输稳定。	20149808.png
491391	회전전극	旋转圆盘/环盘电极滴涂支架	旋转圆盘电极滴涂支架 | 材质：ABS、铝 | 特点：旋转环盘/圆盘静态滴涂使用（使用前请调节水平）	20149945.png
491381	회전전극	旋转环盘电极-RRDE	旋转环盘电极-RRDE | 材质：PTFE、PEEK | 通过收集盘环电流、电位数据，可通过环收集直接产物开展进一步研究。 | 用于氢燃料电池催化剂研究及评价；锂空气电池研究；电化学动力学研究；ORR、OER 研究。 | 外螺纹设计	20149810.png
491371	회전전극	旋转圆盘电极-RDE内螺纹	旋转圆盘电极-RDE内螺纹 | 材质：GC，AU，PT等 | 工作温度：10-25℃ | 盘电极直径：5mm | 电极外径：12mm	20149212.png
491369	회전전극	旋转圆盘电极-RRDE-3A	旋转圆盘电极 | 盘材料：玻碳 | 尺寸：3或5mm直径 | 材质：PEEK | 工作电极内芯为玻碳、黄金、铂金、热解石墨、石墨、银、铝等，可配套日本旋转圆盘仪使用 | 可根据要求定制	20149328.png
491366	회전전극	旋转环盘电极-RRDE-3A	旋转环盘电极-RRDE-3A | 盘材料：玻碳 | 尺寸：3或5mm直径 | 材质：PTFE | 工作电极内芯为玻碳、黄金、铂金、热解石墨、石墨、银、铝等，可配套日本旋转圆盘仪使用 | 可根据要求定制	20149413.png
491360	회전전극	旋转银-银离子电极	旋转银-银离子电极-RDE | 外螺纹设计 | 可用于有机体系的银-银离子电极	20149329.png
491358	회전전극	电镜旋转圆盘电极-RDE外螺纹	电镜旋转圆盘电极-RDE外螺纹 | 电极材质：玻碳、黄金、铂金、热解石墨、银、铝等（可定做） | 电极杆材质：PEEK | 特点：电镜 두 용도 — 표준 RDE 겸 주사전자현미경용	20149214.png
491348	회전전극	耐高温旋转圆盘电极	耐高温旋转圆盘电极 | 材质：GC，AU，PT等 | 工作温度：10-25℃ | 盘电极直径：5.0mm | 电极外径：15mm | 최고 300℃ 내열 재료 봉지 · 외나사 설계	20149031.png
491343	회전전극	电镜旋转圆盘电极	电镜旋转圆盘电极-RRDE-3A | 电极材质：玻碳、黄金、铂金、热解石墨、银、铝等（可定做） | 电极杆材质：PEEK | 特点：电镜 두 용도	20149020.png
941476	전극클램프	黄金电极夹，盘状金丝电极夹	金丝电极夹 | 开口尺寸：1mm | 适用于传统铂电极夹不适合的体系，杜绝铂析氢问题	20141351.png
490901	전극클램프	铂电极夹-PTFE	聚四氟电极夹 PT-X | 电极杆材质：聚四氟乙烯 | 电极杆直径：6mm | 内置金属片：铂金（纯度：99.99%） | 电极尾巴：镀金铜棒 | 电极整体长度：80mm、110mm	20142749.png
490889	전극클램프	玻碳电极夹	玻碳电极夹 | 夹片部位导电材质：玻碳 | 杆子材质：聚醚醚酮（PEEK） | 导电基底为玻碳，专门为铂电极析氢或析氧干扰实验测试而研发。	20142758.png
490867	전극클램프	不锈钢电极夹（四氟外壳）	不锈钢电极夹（四氟外壳） | 型号：SUS-2 | 导电介质：316F不锈钢 | 电极外壳为聚四氟乙烯材质，有效防止不锈钢在苛刻条件下杆子生锈	20142605.png
490850	전극클램프	钛电极夹	钛电极夹 | 材质：钛 | 规格：杆子直径6mm。可用于夹厚度小于5mm以下样品	20142013.png
490792	전극클램프	不锈钢电极夹	不锈钢电极夹 | 材质：整体不锈钢316F | 规格：杆子直径6mm。可用于夹厚度小于5mm以下样品，可根据客户要求定做	20142013.png
490746	전극클램프	玻碳片（石墨片）电极夹	玻碳片（石墨片）电极夹 | 材质：PEEK | 导电金属：铂金（纯度99.99%） | 电极杆直径：6mm | 可用于固定10*10mm尺寸的玻碳片或者石墨片，结构简单，方便拆卸	20141680.png
490708	전극클램프	加厚样片电极夹	加厚样片固定电极夹 | 杆子材质：聚四氟乙烯 | 导电介质：铂片 | 双螺栓固定样片。可固定加厚样片	20141316.png
490698	전극클램프	铂电极夹-PEEK	铂电极夹-PEEK | 电极杆子材质：PEEK | 电极内置金属片：铂金（纯度：99.99%） | 电极杆直径：6mm | 电极尾巴：镀金铜棒 | 电极型号：PT-1、PT-3	20141351.png
490671	전극클램프	样片支持体	样片支持体 | 材质：聚四氟乙烯 | 电极杆直径：6mm | 电极尾巴：镀金铜棒 | 定面积：1平方厘米 | 主要应用于腐蚀样片的测试	20141179.png
498768	전극클램프	定制样片夹	定制样片夹 | 主要用于固定石墨片、RVC等片状加厚材料	20272198.jpg
