cat,name,model,url,imgs,nkv,cov,spec,ids,famx,slugx
프레스,5T Digital Manual Pellet Press,YP-5S,http://www.henchld.com/en/5T-Digital-Manual-Pellet-Press-PG4264986,6,14,1.0,"{""Instrument model"": ""YP-5S"", ""Pressure range"": ""0-5T(0-31.4MPa)"", ""Cylinder diameter"": ""45mm"", ""Pressure conversion"": ""1MPa=0.1T"", ""Pressure gauge"": ""DDNT 고정밀 디지털 센서 · T/MPa 전환 표시 · 정밀도 0.01T"", ""Piston stroke"": ""30mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ68mm"", ""Number of columns"": ""2주"", ""Valid space"": ""90×120mm"", ""Dimensions"": ""205×170×400mm"", ""Weight"": ""23kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery die can be selected within the pressure range.""}",202409011011128EB0C04D87B751FC 202409011011136BEAEF6541412DC5 20240901101113ED18F538CB2E57A7 2024090110111318C0D1A80E88FA85 20240901101113C4C6F6B4C0B7BFDC 20240901101113B4036FF79C24B611,P2-digital,digital-pellet-press-yp-5s
프레스,15T Digital Manual Pellet Press,YP-15S,http://www.henchld.com/en/15T-Digital-Manual-Pellet-Press-PG4264988,6,14,1.0,"{""Instrument model"": ""YP-15S"", ""Pressure range"": ""0-15T(0-30MPa)"", ""Cylinder diameter"": ""75mm"", ""Pressure conversion"": ""1MPa=0.5T"", ""Pressure gauge"": ""DDNT 고정밀 디지털 센서 · T/MPa 전환 표시 · 정밀도 0.01T"", ""Piston stroke"": ""32mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ78mm"", ""Number of columns"": ""2주"", ""Valid space"": ""96×130mm"", ""Dimensions"": ""230×160×440mm"", ""Weight"": ""28kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery die can be selected within the pressure range""}",20240901100603434001A55708C6C1 20240901100603A79FE3EA8C838C7A 20240901100603391F0D537AA5FAC7 2024090110060470642A7ACCCCC417 2024090110060459BED0E9825C3EC5 202409011006040577161B9733845D,P2-digital,digital-pellet-press-yp-15s
프레스,12T Digital Manual Pellet Press,YP-12S,http://www.henchld.com/en/12T-Digital-Manual-Pellet-Press-PG4264987,6,14,1.0,"{""Instrument model"": ""YP-12S"", ""Pressure range"": ""0-12T(0-30MPa)"", ""Cylinder diameter"": ""70mm"", ""Pressure conversion"": ""1MPa=0.4T"", ""Pressure gauge"": ""DDNT 고정밀 디지털 센서 · T/MPa 전환 표시 · 정밀도 0.01T"", ""Piston stroke"": ""30mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ78mm"", ""Number of columns"": ""2주"", ""Valid space"": ""96×130mm"", ""Dimensions"": ""230×160×440mm"", ""Weight"": ""28kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery molds can be selected within the pressure range.""}",20240901100902A9F4428D8E02250E 20240901100902287A6F8177D6ADEE 20240901100902613C73CFCC9385F9 20240901100903487F1A8E223B890C 20240901100904C57FE86DEC0C6181 20240901100904865D5EA9DE9819EA,P2-digital,digital-pellet-press-yp-12s
프레스,30T Digital Manual Pellet Press,YP-30S,http://www.henchld.com/en/30T-Digital-Manual-Pellet-Press-PG4264991,6,14,1.0,"{""Instrument model"": ""YP-30S"", ""Pressure range"": ""0-30T(0-31.5MPa)"", ""Cylinder diameter"": ""110mm"", ""Pressure conversion"": ""1MPa=0.95T"", ""Pressure gauge"": ""DDNT 고정밀 디지털 센서 · T/MPa 전환 표시 · 정밀도 0.01T"", ""Piston stroke"": ""40mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ128mm"", ""Number of columns"": ""4주"", ""Valid space"": ""92×92×160mm"", ""Dimensions"": ""275×210×490mm"", ""Weight"": ""58kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery molds can be selected within the pressure range""}",2024090109501261C22B80BDD229ED 20240901095012F1381768B98D6AA9 2024090109501206E861874FF14A18 202409010950138B5F31DC8CB32FD1 20240901095013F37B27D60BD8DFF9 20240901095013B29CB048B6301E13,P2-digital,digital-pellet-press-yp-30s
프레스,15T Digital Manual Pellet Press（4 Columns）,YP-15RS,http://www.henchld.com/en/15T-Digital-Manual-Pellet-Press-4-Columns-PG4264989,6,14,1.0,"{""Instrument model"": ""YP-15RS"", ""Pressure range"": ""0-15T(0-30MPa)"", ""Cylinder diameter"": ""80mm"", ""Pressure conversion"": ""1MPa=0.5T"", ""Pressure gauge"": ""DDNT 고정밀 디지털 센서 · T/MPa 전환 표시 · 정밀도 0.01T"", ""Piston stroke"": ""30mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ88mm"", ""Number of columns"": ""4주"", ""Valid space"": ""80×80×150mm"", ""Dimensions"": ""245×180×460mm"", ""Weight"": ""42kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery molds can be selected within the pressure range""}",2024090110002541CD914B786C7FC7 2024090109594804C41FB8D66DA571 20240901095948CB04FB1755998B99 202409010959498C74B54AE07A31E9 202409010959490C60BE9F67FFE81C 20240901095950241D63A87E2CBD42,P2-digital,digital-pellet-press-yp-15rs-4col
프레스,15T Manual Protection Pellet Press,YP-15F,http://www.henchld.com/en/15T-Manual-Protection-Pellet-Press-PG4264993,6,15,0.98,"{""Instrument model"": ""YP-15F"", ""Pressure range"": ""0-15T(0-30MPa)"", ""Cylinder diameter"": ""80mm"", ""Pressure conversion"": ""1MPa=0.5T"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""30mm"", ""Safety protection"": ""측면 개폐 5mm 아크릴 방호문 · 슬라이드 걸쇠 도어락"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ88mm"", ""Number of columns"": ""4주"", ""Valid space"": ""80×80×150mm"", ""Dimensions"": ""245×180×460mm"", ""Weight"": ""43kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Pressure"": ""tonnage (T)/ pressure Mpa dual scale display"", ""Equipment protection"": ""side opening 5mm plexiglass protective door, translation latch latch safe and convenient"", ""Configuration description"": ""All kinds of round, square, shaped, battery die can be selected within the pressure range""}",202409010926086C2D08421EA618C3 20240901092608784EB6CAE557F56F 20240901092609DB2D2E931E7D1D6A 202409010926098BCA9CD5C5800561 202409010926106F690D46F4210B1B 202409010926104C29B19AD5F2CA33,P1-manual,pellet-press-yp-15f-protection
프레스,24T Digital Manual Pellet Press,YP-24S,http://www.henchld.com/en/24T-Digital-Manual-Pellet-Press-PG4264990,6,14,1.0,"{""Instrument model"": ""YP-24S"", ""Pressure range"": ""0-24T(0-34MPa)"", ""Cylinder diameter"": ""95mm"", ""Pressure conversion"": ""1MPa=0.7T"", ""Pressure gauge"": ""DDNT 고정밀 디지털 센서 · T/MPa 전환 표시 · 정밀도 0.01T"", ""Piston stroke"": ""30mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ108mm"", ""Number of columns"": ""4주"", ""Valid space"": ""80×80×150mm"", ""Dimensions"": ""250×180×460mm"", ""Weight"": ""42kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery die can be selected within the pressure range""}",2024090109580928BB21D0D9E375CB 20240901095811418ECF24586B8D55 20240901095811B5A67B9AD7432845 202409010958116F006E5F732439B3 2024090109581267403BD2387F84A1 20240901095813A30AABF8F1BCFDC0,P2-digital,digital-pellet-press-yp-24s
프레스,40T Digital Manual Pellet Press,YP-40S,http://www.henchld.com/en/40T-Digital-Manual-Pellet-Press-PG4264992,7,14,1.0,"{""Instrument model"": ""YP-40S"", ""Pressure range"": ""0-40T(0-30MPa)"", ""Cylinder diameter"": ""130mm"", ""Pressure conversion"": ""1MPa=1.33T"", ""Pressure gauge"": ""DDNT 고정밀 디지털 센서 · T/MPa 전환 표시 · 정밀도 0.01T"", ""Piston stroke"": ""50mm"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ148mm"", ""Number of columns"": ""4주"", ""Valid space"": ""106×106×160mm"", ""Dimensions"": ""295×232×560mm"", ""Weight"": ""78kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Configuration description"": ""According to customer needs, the column can be increased, and various types of round, square, shaped, battery molds can be selected within the pressure range""}",2024090109475984E67789F3894C9B 20240901094759C1C04FAC60D0E385 202409010947590CB3A3EFB2D92D08 2024090109480034F15E2FE4A6043E 20240901094800C3C8DCAD5DD901D1 2024090109480000B6C11DD5E184FF 20240901094800F01F0B5E3EE1C2C1,P2-digital,digital-pellet-press-yp-40s
프레스,24T Manual Protection Pellet Press,YP-24F,http://www.henchld.com/en/24T-Manual-Protection-Pellet-Press-PG4264994,6,15,0.98,"{""Instrument model"": ""YP-24F"", ""Pressure range"": ""0-24T(0-34MPa)"", ""Cylinder diameter"": ""95mm"", ""Pressure conversion"": ""1MPa=0.7T"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""30mm"", ""Safety protection"": ""측면 개폐 5mm 아크릴 방호문 · 슬라이드 걸쇠 도어락"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ128mm"", ""Number of columns"": ""4주"", ""Valid space"": ""112×112×160mm"", ""Dimensions"": ""310×200×500mm"", ""Weight"": ""65kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Pressure"": ""tonnage (T)/ pressure Mpa dual scale display"", ""Equipment protection"": ""side opening 5mm plexiglass protective door, translation latch latch safe and convenient"", ""Configuration description"": ""All kinds of round, square, shaped, battery molds can be selected within the pressure range""}",2024090109242786F69288077546E3 20240901092427E75C7D750B3477F7 202409010924271C2B64B1E17B5EAB 20240901092428FF948D0C5049A2EE 202409010924286CA91BB2261AB2D5 2024090109242876E7015CD3CB41A6,P1-manual,pellet-press-yp-24f-protection
프레스,30T Manual Protection Pellet Press,YP-30F,http://www.henchld.com/en/30T-Manual-Protection-Pellet-Press-PG4264995,6,15,0.98,"{""Instrument model"": ""YP-30F"", ""Pressure range"": ""0-30T(0-31.5MPa)"", ""Cylinder diameter"": ""110mm"", ""Pressure conversion"": ""1MPa=0.95T"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""40mm"", ""Safety protection"": ""측면 개폐 5mm 아크릴 방호문 · 슬라이드 걸쇠 도어락"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ128mm"", ""Number of columns"": ""4주"", ""Valid space"": ""112×112×160mm"", ""Dimensions"": ""310×200×500mm"", ""Weight"": ""65kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Pressure"": ""tonnage (T)/ pressure Mpa dual scale display"", ""Equipment protection"": ""side opening 5mm plexiglass protective door, translation latch latch safe and convenient"", ""Configuration description"": ""All kinds of round, square, shaped, battery molds can be selected within the pressure range""}",2024090109214200D029A6F74D0A3A 20240901092143B83450C942B599FD 202409010921446D158E754645E5B4 20240901092144667926C317873E55 2024090109214595D318D4404352B1 202409010921459A643531F3E5AB6F,P1-manual,pellet-press-yp-30f-protection
프레스,40T Manual Protection Pellet Press,YP-40F,http://www.henchld.com/en/40T-Manual-Protection-Pellet-Press-PG4264996,6,15,0.98,"{""Instrument model"": ""YP-40F"", ""Pressure range"": ""0-40T(0-30MPa)"", ""Cylinder diameter"": ""130mm"", ""Pressure conversion"": ""1MPa=1.33T"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""50mm"", ""Safety protection"": ""측면 개폐 5mm 아크릴 방호문 · 슬라이드 걸쇠 도어락"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ148mm"", ""Number of columns"": ""4주"", ""Valid space"": ""145×145×180mm"", ""Dimensions"": ""360×225×510mm"", ""Weight"": ""98kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Pressure"": ""tonnage (T)/ pressure Mpa dual scale display"", ""Equipment protection"": ""side opening 5mm plexiglass protective door, translation latch latch safe and convenient"", ""Configuration description"": ""All kinds of round, square, shaped, battery molds can be selected within the pressure range""}",20240901092007E76E39162F76E638 20240901092007C4FD3169400204E6 2024090109200893603EBDCDBCD5CF 20240901092009382B1CA8FCA8BDF5 20240901092010FCA8C4D4B49CA409 20240901092010080EBCA0908866E9,P1-manual,pellet-press-yp-40f-protection
프레스,60T Manual Protection Pellet Press,YP-60F,http://www.henchld.com/en/60T-Manual-Protection-Pellet-Press-PG4264997,6,15,1.0,"{""Instrument model"": ""YP-60F"", ""Pressure range"": ""0-60T(0-34MPa)"", ""Cylinder diameter"": ""150mm"", ""Pressure conversion"": ""1MPa=1.76T"", ""Pressure gauge"": ""하중(T) / 압강(MPa) 2중 눈금 표시"", ""Piston stroke"": ""50mm"", ""Safety protection"": ""측면 개폐 5mm 아크릴 방호문 · 슬라이드 걸쇠 도어락"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ168mm"", ""Number of columns"": ""4주"", ""Valid space"": ""200×200×210mm"", ""Dimensions"": ""440×240×530mm"", ""Weight"": ""145kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Equipment protection"": ""side opening 5mm plexiglass protective door, translation latch latch safe and convenient"", ""Configuration description"": ""All kinds of round, square, shaped, battery molds can be selected within the pressure range""}",202409010918202FED96809FA3D15A 20240901091821E26CB0A0DEC4915F 20240901091821108C9B078F9A05B6 202409010918210B33D58EFC0D0A10 202409010918225573E0565FA9D568 20240901091822241ED4D579C499A4,P1-manual,pellet-press-yp-60f-protection
프레스,15T Digital Protection Pellet Press,YP-15FS,http://www.henchld.com/en/15T-Digital-Protection-Pellet-Press-PG4264998,6,15,1.0,"{""Instrument model"": ""YP-15FS"", ""Pressure range"": ""0-15T(0-30MPa)"", ""Cylinder diameter"": ""80mm"", ""Pressure conversion"": ""1MPa=0.5T"", ""Pressure gauge"": ""DDNT 고정밀 디지털 센서 표시계 · T/MPa 전환 · 정밀도 0.01T"", ""Piston stroke"": ""30mm"", ""Safety protection"": ""측면 개폐 5mm 아크릴 방호문 · 슬라이드 걸쇠 도어락"", ""Pressure stability"": ""≤1MPa/10min"", ""Table diameter"": ""Φ88mm"", ""Number of columns"": ""4주"", ""Valid space"": ""80×80×150mm"", ""Dimensions"": ""248×180×460mm"", ""Weight"": ""43kg"", ""Overall structure"": ""수동 유압식 · 단조 가공 · 일체형 구조(68번 내마모 유압유)"", ""Equipment protection"": ""side opening 5mm plexiglass protective door, translation latch latch safe and convenient"", ""Configuration description"": ""All kinds of round, square, shaped, battery molds can be selected within the pressure range""}",20240901090957242375FCE71F6510 2024090109095770968B31409C4476 202409010909578AC5592806DA4243 20240901090958C84A7E3A8F715E87 202409010909583A6E6123C0135D0F 2024090109095865BAD478F73B4485,P2-digital,digital-pellet-press-yp-15fs-protection
